"dataset","variant","strategy","metric","cell_status","cell_status_reason","predecessor_name","n_class1_sites","gmm_G","gmm_modelName","n_bins","n_frames","k_selected","silhouette_mean","metric_status","convergence_first_snp","convergence_first_mut","convergence_first_class1","walltime_s"
"GISAID_US","Zeta","cumulative_1m","hellinger_Tpred","underpowered_bin","2 / 19 bins have < 30 seqs (worst = 2).","D614G",40,15,"V",19,0,NA,NA,NA,NA,NA,NA,4.70109033584595
"GISAID_US","Zeta","disjoint_2m","entropy","underpowered_bin","1 / 9 bins have < 30 seqs (worst = 8).","D614G",40,15,"V",9,0,NA,NA,NA,NA,NA,NA,3.35949206352234
"GISAID_US","Zeta","disjoint_2m","hellinger_T1","underpowered_bin","1 / 9 bins have < 30 seqs (worst = 8).","D614G",40,15,"V",9,0,NA,NA,NA,NA,NA,NA,3.35949206352234
"GISAID_US","Zeta","disjoint_2m","hellinger_Tpred","underpowered_bin","1 / 9 bins have < 30 seqs (worst = 8).","D614G",40,15,"V",9,0,NA,NA,NA,NA,NA,NA,3.35949206352234
"GISAID_US","Zeta","sliding_2m","entropy","underpowered_bin","1 / 18 bins have < 30 seqs (worst = 8).","D614G",40,15,"V",18,0,NA,NA,NA,NA,NA,NA,4.15477919578552
"GISAID_US","Zeta","sliding_2m","hellinger_T1","underpowered_bin","1 / 18 bins have < 30 seqs (worst = 8).","D614G",40,15,"V",18,0,NA,NA,NA,NA,NA,NA,4.15477919578552
"GISAID_US","Zeta","sliding_2m","hellinger_Tpred","underpowered_bin","1 / 18 bins have < 30 seqs (worst = 8).","D614G",40,15,"V",18,0,NA,NA,NA,NA,NA,NA,4.15477919578552
"NCBI_US","Alpha","cumulative_1m","entropy","ok",NA,"D614G",25,13,"V",20,16,2,0.747607891330699,"ok",3,NA,NA,3315.74186658859
"NCBI_US","Alpha","cumulative_1m","hellinger_T1","ok",NA,"D614G",25,13,"V",20,16,2,0.864603982921576,"ok",3,15,15,3315.74186658859
"NCBI_US","Alpha","cumulative_1m","hellinger_Tpred","ok",NA,"D614G",25,13,"V",20,16,2,0.664201791824873,"ok",3,3,NA,3315.74186658859
"NCBI_US","Alpha","disjoint_2m","entropy","ok",NA,"D614G",25,13,"V",10,6,2,0.558862733958714,"ok",3,NA,NA,6076.64767622948
"NCBI_US","Alpha","disjoint_2m","hellinger_T1","ok",NA,"D614G",25,13,"V",10,6,3,0.66279406493783,"ok",3,NA,NA,6076.64767622948
"NCBI_US","Alpha","disjoint_2m","hellinger_Tpred","ok",NA,"D614G",25,13,"V",10,6,2,0.689889771617633,"ok",3,3,NA,6076.64767622948
"NCBI_US","Alpha","sliding_2m","entropy","ok",NA,"D614G",25,13,"V",19,15,6,0.485864383979808,"ok",3,3,3,9738.27766036987
"NCBI_US","Alpha","sliding_2m","hellinger_T1","ok",NA,"D614G",25,13,"V",19,15,3,0.614245492030804,"ok",3,3,3,9738.27766036987
"NCBI_US","Alpha","sliding_2m","hellinger_Tpred","ok",NA,"D614G",25,13,"V",19,15,3,0.613842349768637,"ok",3,4,4,9738.27766036987
"NCBI_US","Beta","cumulative_1m","entropy","ok",NA,"Alpha",25,13,"V",19,15,2,0.742603863687498,"ok",9,3,NA,7852.97528743744
"NCBI_US","Beta","cumulative_1m","hellinger_T1","ok",NA,"Alpha",25,13,"V",19,15,2,0.566677902552045,"ok",9,3,NA,7852.97528743744
"NCBI_US","Beta","cumulative_1m","hellinger_Tpred","ok",NA,"Alpha",25,13,"V",19,15,2,0.550281864591658,"ok",9,3,NA,7852.97528743744
"NCBI_US","Beta","disjoint_2m","entropy","ok",NA,"Alpha",25,13,"V",9,5,2,0.512469938489529,"ok",5,3,NA,5876.74247670174
"NCBI_US","Beta","disjoint_2m","hellinger_T1","ok",NA,"Alpha",25,13,"V",9,5,6,0.52209239283755,"ok",NA,3,NA,5876.74247670174
"NCBI_US","Beta","disjoint_2m","hellinger_Tpred","ok",NA,"Alpha",25,13,"V",9,5,3,0.601314608723632,"ok",NA,3,NA,5876.74247670174
"NCBI_US","Beta","sliding_2m","entropy","ok",NA,"Alpha",25,13,"V",18,14,6,0.486330831699591,"ok",4,4,3,4913.4808280468
"NCBI_US","Beta","sliding_2m","hellinger_T1","ok",NA,"Alpha",25,13,"V",18,14,3,0.614270303284373,"ok",4,3,3,4913.4808280468
"NCBI_US","Beta","sliding_2m","hellinger_Tpred","ok",NA,"Alpha",25,13,"V",18,14,3,0.631894908991827,"ok",6,5,6,4913.4808280468
"NCBI_US","Delta","cumulative_1m","entropy","ok",NA,"Beta",24,13,"V",17,13,3,0.551675924639974,"ok",3,NA,NA,2720.00721335411
"NCBI_US","Delta","cumulative_1m","hellinger_T1","ok",NA,"Beta",24,13,"V",17,13,3,0.505081218479484,"ok",3,3,NA,2720.00721335411
"NCBI_US","Delta","cumulative_1m","hellinger_Tpred","ok",NA,"Beta",24,13,"V",17,13,2,0.536540906988478,"ok",3,3,NA,2720.00721335411
"NCBI_US","Delta","disjoint_2m","entropy","ok",NA,"Beta",24,13,"V",8,4,5,0.507258979346705,"ok",3,NA,NA,1269.66607499123
"NCBI_US","Delta","disjoint_2m","hellinger_T1","ok",NA,"Beta",24,13,"V",8,4,4,0.572286878362252,"ok",3,NA,NA,1269.66607499123
"NCBI_US","Delta","disjoint_2m","hellinger_Tpred","ok",NA,"Beta",24,13,"V",8,4,3,0.684961586387566,"ok",3,NA,NA,1269.66607499123
"NCBI_US","Delta","sliding_2m","entropy","ok",NA,"Beta",24,13,"V",16,12,5,0.510223863837788,"ok",3,4,4,3867.87155938148
"NCBI_US","Delta","sliding_2m","hellinger_T1","ok",NA,"Beta",24,13,"V",16,12,2,0.659926010515021,"ok",3,4,4,3867.87155938148
"NCBI_US","Delta","sliding_2m","hellinger_Tpred","ok",NA,"Beta",24,13,"V",16,12,3,0.668910435409453,"ok",3,4,4,3867.87155938148
"NCBI_US","Epsilon","cumulative_1m","entropy","underpowered_bin","1 / 16 bins have < 30 seqs (worst = 25).","D614G",26,12,"V",16,0,NA,NA,NA,NA,NA,NA,11.3182165622711
"NCBI_US","Epsilon","cumulative_1m","hellinger_T1","underpowered_bin","1 / 16 bins have < 30 seqs (worst = 25).","D614G",26,12,"V",16,0,NA,NA,NA,NA,NA,NA,11.3182165622711
"NCBI_US","Epsilon","cumulative_1m","hellinger_Tpred","underpowered_bin","1 / 16 bins have < 30 seqs (worst = 25).","D614G",26,12,"V",16,0,NA,NA,NA,NA,NA,NA,11.3182165622711
"NCBI_US","Epsilon","disjoint_2m","entropy","ok",NA,"D614G",26,12,"V",8,4,2,0.630290552770247,"ok",NA,3,NA,1335.50932383537
"NCBI_US","Epsilon","disjoint_2m","hellinger_T1","ok",NA,"D614G",26,12,"V",8,4,2,0.841029240729984,"ok",NA,3,NA,1335.50932383537
"NCBI_US","Epsilon","disjoint_2m","hellinger_Tpred","ok",NA,"D614G",26,12,"V",8,4,2,0.730270065671317,"ok",NA,3,NA,1335.50932383537
"NCBI_US","Epsilon","sliding_2m","entropy","ok",NA,"D614G",26,12,"V",15,11,2,0.634226801532213,"ok",NA,3,6,4764.12094831467
"NCBI_US","Epsilon","sliding_2m","hellinger_T1","ok",NA,"D614G",26,12,"V",15,11,2,0.847020452369558,"ok",NA,3,4,4764.12094831467
"NCBI_US","Epsilon","sliding_2m","hellinger_Tpred","ok",NA,"D614G",26,12,"V",15,11,2,0.718079161619603,"ok",NA,3,4,4764.12094831467
"NCBI_US","Eta","cumulative_1m","entropy","underpowered_bin","1 / 20 bins have < 30 seqs (worst = 25).","D614G",25,13,"V",20,0,NA,NA,NA,NA,NA,NA,16.2340552806854
"NCBI_US","Eta","cumulative_1m","hellinger_T1","underpowered_bin","1 / 20 bins have < 30 seqs (worst = 25).","D614G",25,13,"V",20,0,NA,NA,NA,NA,NA,NA,16.2340552806854
"NCBI_US","Eta","cumulative_1m","hellinger_Tpred","underpowered_bin","1 / 20 bins have < 30 seqs (worst = 25).","D614G",25,13,"V",20,0,NA,NA,NA,NA,NA,NA,16.2340552806854
"NCBI_US","Eta","disjoint_2m","entropy","ok",NA,"D614G",25,13,"V",10,6,2,0.533445965437157,"ok",3,3,NA,1364.87258338928
"NCBI_US","Eta","disjoint_2m","hellinger_T1","ok",NA,"D614G",25,13,"V",10,6,2,0.730237718465612,"ok",3,NA,NA,1364.87258338928
"NCBI_US","Eta","disjoint_2m","hellinger_Tpred","ok",NA,"D614G",25,13,"V",10,6,3,0.53634277989543,"ok",3,NA,NA,1364.87258338928
"NCBI_US","Eta","sliding_2m","entropy","ok",NA,"D614G",25,13,"V",19,15,2,0.562404786323259,"ok",3,3,4,5373.07796049118
"NCBI_US","Eta","sliding_2m","hellinger_T1","ok",NA,"D614G",25,13,"V",19,15,2,0.744316750155839,"ok",3,4,4,5373.07796049118
"NCBI_US","Eta","sliding_2m","hellinger_Tpred","ok",NA,"D614G",25,13,"V",19,15,6,0.514930153907148,"ok",3,4,8,5373.07796049118
"NCBI_US","Gamma","cumulative_1m","entropy","ok",NA,"Alpha",25,13,"V",19,15,2,0.742603863687498,"ok",7,NA,NA,3385.19258928299
"NCBI_US","Gamma","cumulative_1m","hellinger_T1","ok",NA,"Alpha",25,13,"V",19,15,2,0.566677902552045,"ok",7,3,NA,3385.19258928299
